et,lat,lon,obcflags,batt,curr,txforward2,txcurr,rxcurr,rxdoppler,rxrssi,txreflected,txforward,txtemp,txvoltage,antsA,antsB,localtime,boardtime
PV8DX,5.806,-50.727,007D,8.176,0.063,0.005975,0,0.057999999999999996,413.0,945.0,0.003824,0.005975,4.193548387096777,7.96774193548387,0100,100.0,2021-04-05 23:26:20,
PV8DX,5.181,-50.853,007D,8.176,0.067,0.005975,0,0.059000000000000004,412.0,941.0,0.003824,0.005975,4.516129032258063,7.983870967741934,0100,100.0,2021-04-05 23:26:30,
PV8DX,2.06,-51.477,007D,8.166,0.063,0.005975,0,0.057999999999999996,413.0,941.0,0.003824,0.005975,3.87096774193548,7.96774193548387,0100,100.0,2021-04-05 23:27:20,
PV8DX,1.436,-51.602,007D,8.176,0.063,0.005975,0,0.059000000000000004,411.0,954.0,0.003824,0.005975,3.87096774193548,8.0,0100,100.0,2021-04-05 23:27:30,
PV8DX,-0.4370000000000001,-51.976000000000006,007D,8.166,0.067,0.005975,0,0.059000000000000004,413.0,949.0,0.003824,0.005975,3.5483870967741917,7.951612903225807,0100,100.0,2021-04-05 23:28:00,
COESU,-31.122,-44.655,007D,8.286,0.067,28.707485,0,0.055999999999999994,410.0,950.0,0.003824,0.005975,-2.5806451612903203,8.048387096774192,0100,0100,2021-04-06 11:17:20,2020-12-24 06:22:31
COESU,-21.86,-46.825,007D,8.286,0.067,28.886734999999998,0,0.057,410.0,945.0,0.003824,0.005975,-1.29032258064516,8.080645161290322,0100,0100,2021-04-06 11:19:50,2020-12-24 06:25:01
PV8DX,-5.7810000000000015,-50.192,007D,8.286,0.067,0.005975,0,0.057,412.0,945.0,0.003824,0.005975,0.967741935483872,8.064516129032258,0100,100.0,2021-04-06 11:24:10,
PV8DX,-5.162000000000001,-50.317,007D,8.296,0.067,0.005975,0,0.057,415.0,938.0,0.003824,0.005975,0.967741935483872,8.048387096774192,0100,100.0,2021-04-06 11:24:20,
PV8DX,-3.925,-50.565,007D,8.296,0.067,0.005975,0,0.057,413.0,945.0,0.0,0.005975,1.29032258064516,8.096774193548388,0100,100.0,2021-04-06 11:24:40,
PV8DX,-3.306,-50.69,007D,8.286,0.067,0.005975,0,0.057,414.0,939.0,0.003824,0.005975,1.29032258064516,8.048387096774192,0100,100.0,2021-04-06 11:24:50,
PV8DX,-1.449,-51.062,007D,8.296,0.067,0.005975,0,0.057999999999999996,413.0,951.0,0.005975,0.005975,1.6129032258064484,8.080645161290322,0100,100.0,2021-04-06 11:25:20,
PV8DX,0.407,-51.433,007D,8.286,0.067,0.005975,0,0.057999999999999996,415.0,952.0,0.005975,0.005975,1.935483870967744,8.096774193548388,0100,100.0,2021-04-06 11:25:50,
PV8DX,2.264,-51.805,007D,8.296,0.067,0.005975,0,0.057,413.0,956.0,0.005975,0.005975,2.2580645161290316,8.080645161290322,0100,100.0,2021-04-06 11:26:20,
PV8DX,3.502,-52.053,007D,8.286,0.067,0.005975,0,0.057999999999999996,413.0,943.0,0.003824,0.005975,2.2580645161290316,8.064516129032258,0100,100.0,2021-04-06 11:26:40,
PV8DX,4.121,-52.177,007D,8.286,0.067,0.005975,0,0.057999999999999996,416.0,954.0,0.003824,0.005975,2.2580645161290316,8.112903225806452,0100,100.0,2021-04-06 11:26:50,
PV8DX,5.359,-52.426,007D,8.286,0.067,0.005975,0,0.057999999999999996,415.0,948.0,0.005975,0.005975,2.5806451612903203,8.112903225806452,0100,100.0,2021-04-06 11:27:10,
PV8DX,7.215,-52.801,007D,8.296,0.067,0.005975,0,0.057999999999999996,412.0,946.0,0.003824,0.005975,2.903225806451616,8.096774193548388,0100,100.0,2021-04-06 11:27:40,
PV8DX,7.834,-52.926,007D,8.286,0.067,0.005975,0,0.057,414.0,939.0,0.003824,0.005975,2.903225806451616,8.080645161290322,0100,100.0,2021-04-06 11:27:50,
PV8DX,9.691,-53.304,007D,8.296,0.063,0.005975,0,0.057999999999999996,413.0,951.0,0.005975,0.005975,3.225806451612904,8.080645161290322,0100,100.0,2021-04-06 11:28:20,
COESU,-35.517,-58.612,007D,8.176,0.063,3.13568,0,0.059000000000000004,429.0,947.0,0.005975,0.005975,3.225806451612904,8.0,0100,0100,2021-04-06 23:33:00,2020-12-24 18:38:08
COESU,-37.119,-41.992,007D,8.286,0.067,53.20618,0,0.057,415.0,950.0,0.003824,0.005975,-0.6451612903225836,8.112903225806452,0100,0100,2021-04-07 11:11:20,2020-12-25 06:16:28
COESU,-36.503,-42.162,007D,8.286,0.067,53.224105,0,0.057,412.0,952.0,0.003824,0.005975,-0.6451612903225836,8.048387096774192,0100,0100,2021-04-07 11:11:30,2020-12-25 06:16:43
COESU,-33.423,-42.982,007D,8.286,0.067,53.279075,0,0.057,413.0,947.0,0.003824,0.005975,-0.32258064516128826,8.112903225806452,0100,0100,2021-04-07 11:12:20,2020-12-25 06:17:29
COESU,-32.806,-43.14100000000001,007D,8.296,0.067,53.297,0,0.057,417.0,949.0,0.003824,0.005975,0.0,8.112903225806452,0100,0100,2021-04-07 11:12:30,2020-12-25 06:17:44
COESU,-29.105,-44.062,007D,8.286,0.063,53.3687,0,0.057999999999999996,413.0,951.0,0.003824,0.005975,0.6451612903225836,8.112903225806452,0100,0100,2021-04-07 11:13:30,2020-12-25 06:18:44
COESU,-27.871,-44.358,007D,8.286,0.063,53.386625,0,0.057,417.0,949.0,0.003824,0.005975,0.6451612903225836,8.096774193548388,0100,0100,2021-04-07 11:13:50,2020-12-25 06:18:59
